Test,Database,Iteration,Time (s)
Insert Time,Postgres,1,0.6544442176818848
Insert Time,Postgres,2,0.6693124771118164
Insert Time,Postgres,3,0.6226952075958252
Insert Time,MongoDB,1,0.025847911834716797
Insert Time,MongoDB,2,0.026036500930786133
Insert Time,MongoDB,3,0.025547266006469727
Insert Time,Redis,1,0.024928808212280273
Insert Time,Redis,2,0.028018712997436523
Insert Time,Redis,3,0.02742934226989746
Query Time,Postgres,1,0.14768695831298828
Query Time,Postgres,2,0.14215445518493652
Query Time,Postgres,3,0.1644291877746582
Query Time,MongoDB,1,0.6929454803466797
Query Time,MongoDB,2,0.6751875877380371
Query Time,MongoDB,3,0.7033407688140869
Query Time,Redis,1,0.10792827606201172
Query Time,Redis,2,0.11017203330993652
Query Time,Redis,3,0.10816574096679688
Lookup Time,Postgres,1,0.2456798553466797
Lookup Time,Postgres,2,0.23333954811096191
Lookup Time,Postgres,3,0.23626947402954102
Lookup Time,MongoDB,1,0.6762115955352783
Lookup Time,MongoDB,2,0.7101664543151855
Lookup Time,MongoDB,3,0.7669448852539062
Lookup Time,Redis,1,0.1280956268310547
Lookup Time,Redis,2,0.11909770965576172
Lookup Time,Redis,3,0.10861420631408691
